# Recording;Frequency in list;Note in list;Error
425.0;415.3046975799451;G4#;9.695302420054873
194.5;195.99771799087466;G3;1.497717990874662
177.5;174.61411571650194;F3;2.885884283498058
187.0;184.9972113558172;F3#;2.0027886441828002
199.5;195.99771799087466;G3;3.502282009125338
138.5;138.59131548843604;C3#;0.0913154884360381
187.0;184.9972113558172;F3#;2.0027886441828002
197.0;195.99771799087466;G3;1.002282009125338
205.5;207.65234878997256;G3#;2.1523487899725637
178.5;174.61411571650194;F3;3.885884283498058
188.5;184.9972113558172;F3#;3.5027886441828002
200.5;195.99771799087466;G3;4.502282009125338
106.0;103.82617439498628;G2#;2.173825605013718
167.0;164.813778456435;E3;2.1862215435650114
180.5;184.9972113558172;F3#;4.4972113558172
190.5;195.99771799087466;G3;5.497717990874662
202.0;207.65234878997256;G3#;5.652348789972564
142.5;138.59131548843604;C3#;3.908684511563962
152.0;155.56349186104046;D3#;3.563491861040461
241.5;246.941650628062;B3;5.441650628062007
255.0;261.6255653005986;C4;6.625565300598623
181.0;184.9972113558172;F3#;3.9972113558171998
191.5;195.99771799087466;G3;4.497717990874662
202.5;207.65234878997256;G3#;5.152348789972564
107.5;110.0;A2;2.5
114.0;116.54094037952248;A2#;2.540940379522482
121.0;123.470825314031;B2;2.4708253140310035
127.5;130.8127826502993;C3;3.3127826502993116
136.5;138.59131548843604;C3#;2.091315488436038
145.0;146.83238395870376;D3;1.8323839587037583
153.0;155.56349186104046;D3#;2.563491861040461
162.0;164.813778456435;E3;2.8137784564349886
516.5;523.2511306011972;C5;6.7511306011972465
182.0;184.9972113558172;F3#;2.9972113558171998
578.0;587.3295358348153;D5;9.32953583481526
406.5;415.3046975799451;G4#;8.804697579945127
435.0;440.0;A4;5.0
458.0;466.1637615180898;A4#;8.163761518089814
488.0;493.88330125612424;B4;5.883301256124241
514.5;523.2511306011972;C5;8.751130601197247
544.0;554.3652619537442;C5#;10.365261953744152
578.0;587.3295358348153;D5;9.32953583481526
306.5;311.1269837220809;D4#;4.626983722080922
647.5;659.2551138257397;E5;11.755113825739727
344.5;349.2282314330039;F4;4.728231433003884
366.0;369.9944227116344;F4#;3.9944227116343995
388.0;391.9954359817493;G4;3.995435981749324
409.5;415.3046975799451;G4#;5.8046975799451275
434.5;440.0;A4;5.5
462.0;466.1637615180898;A4#;4.163761518089814
485.0;493.88330125612424;B4;8.883301256124241
513.5;523.2511306011972;C5;9.751130601197247
546.5;554.3652619537442;C5#;7.865261953744152
579.0;587.3295358348153;D5;8.32953583481526
614.5;622.2539674441618;D5#;7.7539674441618445
652.0;659.2551138257397;E5;7.255113825739727
692.0;698.4564628660079;F5;6.456462866007882
734.0;739.9888454232688;F5#;5.988845423268799
770.0;783.9908719634984;G5;13.99087196349842
824.5;830.6093951598904;G5#;6.109395159890369
864.0;880.0;A5;16.0
922.5;932.3275230361796;A5#;9.827523036179628
978.5;987.7666025122485;B5;9.266602512248483
1036.0;1046.5022612023945;C6;10.502261202394493
1101.0;1108.7305239074883;C6#;7.730523907488305
1157.5;1174.6590716696305;D6;17.15907166963052
1229.0;1244.5079348883237;D6#;15.507934888323689
1306.0;1318.5102276514795;E6;12.510227651479454
1377.0;1396.9129257320158;F6;19.912925732015765
1472.5;1479.9776908465376;F6#;7.477690846537598
1552.0;1567.9817439269968;G6;15.981743926996842
1649.5;1661.2187903197807;G6#;11.718790319780737
1751.5;1760.0;A6;8.5
1857.5;1864.6550460723593;A6#;7.155046072359255
1963.5;1975.533205024497;B6;12.033205024496965
2076.0;2093.004522404789;C7;17.004522404788986
2217.0;2217.4610478149766;C7#;0.4610478149766095
100.0;97.99885899543732;G2;2.001141004562683
2473.5;2489.0158697766474;D7#;15.515869776647378
2626.0;2637.020455302959;E7;11.020455302958908
2805.0;2793.8258514640315;F7;11.17414853596847
2966.5;2959.955381693075;F7#;6.544618306924804
3172.0;3135.9634878539937;G7;36.03651214600632
3353.5;3322.4375806395615;G7#;31.062419360438525
189.0;184.9972113558172;F3#;4.0027886441828
188.0;184.9972113558172;F3#;3.0027886441828002
4001.0;3951.066410048994;B7;49.93358995100607
208.0;207.65234878997256;G3#;0.34765121002743626
