Recording;Frequency in list;Note in list;Error;Note name;Freq theorical;Dif freq;Cents;Tuned
425.0;415.3046975799451;G4#;9.695302420054873;A0;27.5;397.5;-4739.951181000485;False
194.5;195.99771799087466;G3;1.497717990874662;A0#;29.13523509488062;165.3647649051194;-3286.7199577538386;False
177.5;174.61411571650194;F3;2.885884283498058;B0;30.867706328507758;146.63229367149225;-3028.3786010408617;False
187.0;184.9972113558172;F3#;2.0027886441828002;C1;32.70319566257483;154.29680433742516;-3018.6416956355724;False
199.5;195.99771799087466;G3;3.502282009125338;C1#;34.64782887210901;164.85217112789098;-3030.6622672372237;False
138.5;138.59131548843604;C3#;0.0913154884360381;D1;36.70809598967595;101.79190401032406;-2298.858943029434;False
187.0;184.9972113558172;F3#;2.0027886441828002;D1#;38.890872965260115;148.10912703473988;-2718.6416956355724;False
197.0;195.99771799087466;G3;1.002282009125338;E1;41.20344461410874;155.79655538589125;-2708.83052711806;False
205.5;207.65234878997256;G3#;2.1523487899725637;F1;43.653528929125486;161.84647107087451;-2681.9618441884277;False
178.5;174.61411571650194;F3;3.885884283498058;F1#;46.2493028389543;132.2506971610457;-2338.1046606053283;False
188.5;184.9972113558172;F3#;3.5027886441828002;G1;48.99942949771866;139.50057050228133;-2332.473199692806;False
200.5;195.99771799087466;G3;4.502282009125338;G1#;51.91308719749314;148.58691280250684;-2339.3184555163125;False
106.0;103.82617439498628;G2#;2.173825605013718;A1;55.0;51.0;-1135.8728892462475;False
167.0;164.813778456435;E3;2.1862215435650114;A1#;58.27047018976124;108.72952981023876;-1822.813494739271;False
180.5;184.9972113558172;F3#;4.4972113558172;B1;61.735412657015516;118.76458734298448;-1857.3943760350135;False
190.5;195.99771799087466;G3;5.497717990874662;C2;65.40639132514966;125.09360867485034;-1850.744968762395;False
202.0;207.65234878997256;G3#;5.652348789972564;C2#;69.29565774421802;132.70434225578197;-1852.2221230725625;False
142.5;138.59131548843604;C3#;3.908684511563962;D2;73.4161919793519;69.0838080206481;-1148.1500746329332;False
152.0;155.56349186104046;D3#;3.563491861040461;D2#;77.78174593052023;74.21825406947977;-1159.881359902711;False
241.5;246.941650628062;B3;5.441650628062007;E2;82.40688922821748;159.0931107717825;-1861.4235983733363;False
255.0;261.6255653005986;C4;6.625565300598623;F2;87.30705785825097;167.69294214174903;-1855.5924680010378;False
181.0;184.9972113558172;F3#;3.9972113558171998;F2#;92.4986056779086;88.5013943220914;-1162.1834082702546;False
191.5;195.99771799087466;G3;4.497717990874662;G2;97.99885899543732;93.50114100456268;-1159.8090420803571;False
202.5;207.65234878997256;G3#;5.152348789972564;G2#;103.82617439498628;98.67382560501372;-1156.502061096793;False
107.5;110.0;A2;2.5;A2;110.0;-2.5;39.80023672223925;True
114.0;116.54094037952248;A2#;2.540940379522482;A2#;116.54094037952248;-2.540940379522482;38.163639231901584;True
121.0;123.470825314031;B2;2.4708253140310035;B2;123.470825314031;-2.4708253140310035;34.99577150007786;True
127.5;130.8127826502993;C3;3.3127826502993116;C3;130.8127826502993;-3.3127826502993116;44.407531998962085;True
136.5;138.59131548843604;C3#;2.091315488436038;C3#;138.59131548843604;-2.091315488436038;26.323087125768442;True
145.0;146.83238395870376;D3;1.8323839587037583;D3;146.83238395870376;-1.8323839587037583;21.740748211669903;True
153.0;155.56349186104046;D3#;2.563491861040461;D3#;155.56349186104046;-2.563491861040461;28.76624499840931;True
162.0;164.813778456435;E3;2.8137784564349886;E3;164.813778456435;-2.8137784564349886;29.811652768042187;True
516.5;523.2511306011972;C5;6.7511306011972465;F3;174.61411571650194;341.88588428349806;-1877.5177904084799;False
182.0;184.9972113558172;F3#;2.9972113558171998;F3#;184.9972113558172;-2.9972113558171998;28.27808799115594;True
578.0;587.3295358348153;D5;9.32953583481526;G3;195.99771799087466;382.00228200912534;-1872.279162771223;False
406.5;415.3046975799451;G4#;8.804697579945127;G3#;207.65234878997256;198.84765121002744;-1162.9021942604418;False
435.0;440.0;A4;5.0;A3;220.0;215.0;-1180.2142526537173;False
458.0;466.1637615180898;A4#;8.163761518089814;A3#;233.08188075904496;224.91811924095504;-1169.412889486741;False
488.0;493.88330125612424;B4;5.883301256124241;B3;246.941650628062;241.058349371938;-1179.2531488458724;False
514.5;523.2511306011972;C5;8.751130601197247;C4;261.6255653005986;252.87443469940138;-1170.8010640431708;False
544.0;554.3652619537442;C5#;10.365261953744152;C4#;277.1826309768721;266.8173690231279;-1167.3237532708158;False
578.0;587.3295358348153;D5;9.32953583481526;D4;293.6647679174075;284.3352320825925;-1172.2791627712234;False
306.5;311.1269837220809;D4#;4.626983722080922;D4#;311.1269837220809;-4.626983722080922;25.939739800653815;True
