# Recording;Frequency in list;Note in list;Error
367.75;369.9944227116344;F4#;2.2444227116343995
464.75;466.1637615180898;A4#;1.4137615180898138
453.0;440.0;A4;13.0
230.25;233.08188075904496;A3#;2.8318807590449637
137.5;138.59131548843604;C3#;1.091315488436038
220.0;220.0;A3;0.0
234.25;233.08188075904496;A3#;1.1681192409550363
248.5;246.941650628062;B3;1.558349371937993
217.25;220.0;A3;2.75
229.5;233.08188075904496;A3#;3.5818807590449637
243.25;246.941650628062;B3;3.691650628062007
205.5;207.65234878997256;G3#;2.1523487899725637
218.0;220.0;A3;2.0
232.25;233.08188075904496;A3#;0.8318807590449637
122.75;123.470825314031;B2;0.7208253140310035
261.75;261.6255653005986;C4;0.12443469940137675
206.75;207.65234878997256;G3#;0.9023487899725637
219.5;220.0;A3;0.5
232.75;233.08188075904496;A3#;0.3318807590449637
245.5;246.941650628062;B3;1.441650628062007
348.75;349.2282314330039;F4;0.4782314330038844
369.0;369.9944227116344;F4#;0.9944227116343995
97.5;97.99885899543732;G2;0.4988589954373168
207.0;207.65234878997256;G3#;0.6523487899725637
219.75;220.0;A3;0.25
349.0;349.2282314330039;F4;0.22823143300388438
246.5;246.941650628062;B3;0.44165062806200694
260.5;261.6255653005986;C4;1.1255653005986233
278.0;277.1826309768721;C4#;0.8173690231279238
442.25;440.0;A4;2.25
311.5;311.1269837220809;D4#;0.37301627791907777
330.75;329.62755691287;E4;1.1224430871300228
351.25;349.2282314330039;F4;2.0217685669961156
373.0;369.9944227116344;F4#;3.0055772883656005
197.5;195.99771799087466;G3;1.502282009125338
208.5;207.65234878997256;G3#;0.8476512100274363
221.5;220.0;A3;1.5
234.25;233.08188075904496;A3#;1.1681192409550363
496.75;493.88330125612424;B4;2.8666987438757587
525.25;523.2511306011972;C5;1.9988693988027535
558.0;554.3652619537442;C5#;3.6347380462558476
590.0;587.3295358348153;D5;2.6704641651847396
622.25;622.2539674441618;D5#;0.003967444161844469
329.0;329.62755691287;E4;0.6275569128699772
349.25;349.2282314330039;F4;0.021768566996115624
370.5;369.9944227116344;F4#;0.5055772883656005
392.75;391.9954359817493;G4;0.7545640182506759
415.0;415.3046975799451;G4#;0.3046975799451275
440.75;440.0;A4;0.75
467.5;466.1637615180898;A4#;1.3362384819101862
493.5;493.88330125612424;B4;0.38330125612424126
523.5;523.2511306011972;C5;0.2488693988027535
554.25;554.3652619537442;C5#;0.11526195374415238
589.25;587.3295358348153;D5;1.9204641651847396
622.75;622.2539674441618;D5#;0.49603255583815553
657.75;659.2551138257397;E5;1.505113825739727
701.5;698.4564628660079;F5;3.0435371339921176
743.0;739.9888454232688;F5#;3.011154576731201
787.0;783.9908719634984;G5;3.009128036501579
831.5;830.6093951598904;G5#;0.8906048401096314
884.0;880.0;A5;4.0
934.25;932.3275230361796;A5#;1.9224769638203725
986.75;987.7666025122485;B5;1.0166025122484825
1049.0;1046.5022612023945;C6;2.497738797605507
1108.5;1108.7305239074883;C6#;0.23052390748830476
1179.75;1174.6590716696305;D6;5.090928330369479
1249.0;1244.5079348883237;D6#;4.492065111676311
1317.0;1318.5102276514795;E6;1.510227651479454
1387.25;1396.9129257320158;F6;9.662925732015765
1485.25;1479.9776908465376;F6#;5.272309153462402
1581.0;1567.9817439269968;G6;13.018256073003158
1656.5;1661.2187903197807;G6#;4.718790319780737
1760.5;1760.0;A6;0.5
1878.75;1864.6550460723593;A6#;14.094953927640745
1977.25;1975.533205024497;B6;1.716794975503035
2103.25;2093.004522404789;C7;10.245477595211014
2236.0;2217.4610478149766;C7#;18.53895218502339
2374.25;2349.318143339261;D7;24.93185666073896
2533.0;2489.0158697766474;D7#;43.98413022335262
300.0;293.6647679174075;D4;6.3352320825924835
2844.25;2793.8258514640315;F7;50.42414853596847
219.0;220.0;A3;1.0
3166.25;3135.9634878539937;G7;30.286512146006316
266.75;261.6255653005986;C4;5.124434699401377
3570.25;3520.0;A7;50.25
300.0;293.6647679174075;D4;6.3352320825924835
318.0;311.1269837220809;D4#;6.873016277919078
300.0;293.6647679174075;D4;6.3352320825924835
